id,node_name,resource_name,value,unit,pos_x,pos_y,pos_z,timestamp,time_of_collection,seconds_in_day,timestamp_unix,time_of_collection_unix,relative_position
30401,SGoBs5,illuminance at SGoBs5,130,lux,2.4,4.05,0,04-01-2016 00:16,04-01-2016 00:19,1176,1459462563,1459462776,office B
30402,SGoBs4,illuminance at SGoBs4,124,lux,2.4,2.05,0,04-01-2016 00:14,04-01-2016 00:19,1176,1459462462,1459462776,office B
30403,SGoAs6,illuminance at SGoAs6,131,lux,2.4,9.05,1.45,04-01-2016 00:18,04-01-2016 00:19,1176,1459462697,1459462776,office A
30404,SGoAs5,illuminance at SGoAs5,154,lux,2.4,11.55,3.9,04-01-2016 00:16,04-01-2016 00:19,1176,1459462593,1459462776,office A
30405,SGoAs4,illuminance at SGoAs4,118,lux,2.4,13.55,3.9,04-01-2016 00:16,04-01-2016 00:19,1177,1459462585,1459462777,office A
30406,SGoAs3,illuminance at SGoAs3,148,lux,2.4,17.6,1.45,04-01-2016 00:17,04-01-2016 00:19,1177,1459462675,1459462777,office A
30407,SGoAs2,illuminance at SGoAs2,90,lux,2.4,13.55,0,04-01-2016 00:13,04-01-2016 00:19,1177,1459462387,1459462777,office A
30408,SGoAs1,illuminance at SGoAs1,121,lux,2.4,11.55,0,04-01-2016 00:15,04-01-2016 00:19,1177,1459462540,1459462777,office A
30409,SGoBs5,illuminance at SGoBs5,130,lux,2.4,4.05,0,04-01-2016 00:38,04-01-2016 00:39,2377,1459463924,1459463977,office B
30410,SGoBs4,illuminance at SGoBs4,124,lux,2.4,2.05,0,04-01-2016 00:31,04-01-2016 00:39,2377,1459463506,1459463977,office B
30411,SGoAs6,illuminance at SGoAs6,130,lux,2.4,9.05,1.45,04-01-2016 00:37,04-01-2016 00:39,2377,1459463857,1459463977,office A
30412,SGoAs5,illuminance at SGoAs5,155,lux,2.4,11.55,3.9,04-01-2016 00:35,04-01-2016 00:39,2377,1459463702,1459463977,office A
30413,SGoAs4,illuminance at SGoAs4,117,lux,2.4,13.55,3.9,04-01-2016 00:37,04-01-2016 00:39,2378,1459463839,1459463978,office A
30414,SGoAs3,illuminance at SGoAs3,147,lux,2.4,17.6,1.45,04-01-2016 00:38,04-01-2016 00:39,2378,1459463915,1459463978,office A
30415,SGoAs2,illuminance at SGoAs2,90,lux,2.4,13.55,0,04-01-2016 00:36,04-01-2016 00:39,2378,1459463774,1459463978,office A
30416,SGoAs1,illuminance at SGoAs1,122,lux,2.4,11.55,0,04-01-2016 00:37,04-01-2016 00:39,2378,1459463833,1459463978,office A
30417,SGoBs5,illuminance at SGoBs5,130,lux,2.4,4.05,0,04-01-2016 00:57,04-01-2016 00:59,3578,1459465044,1459465178,office B
30418,SGoBs4,illuminance at SGoBs4,125,lux,2.4,2.05,0,04-01-2016 00:57,04-01-2016 00:59,3578,1459465020,1459465178,office B
30419,SGoAs6,illuminance at SGoAs6,130,lux,2.4,9.05,1.45,04-01-2016 00:55,04-01-2016 00:59,3578,1459464927,1459465178,office A
30420,SGoAs5,illuminance at SGoAs5,154,lux,2.4,11.55,3.9,04-01-2016 00:57,04-01-2016 00:59,3578,1459465066,1459465178,office A
30421,SGoAs4,illuminance at SGoAs4,117,lux,2.4,13.55,3.9,04-01-2016 00:55,04-01-2016 00:59,3579,1459464937,1459465179,office A
30422,SGoAs3,illuminance at SGoAs3,148,lux,2.4,17.6,1.45,04-01-2016 00:54,04-01-2016 00:59,3579,1459464883,1459465179,office A
30423,SGoAs2,illuminance at SGoAs2,91,lux,2.4,13.55,0,04-01-2016 00:54,04-01-2016 00:59,3579,1459464864,1459465179,office A
30424,SGoAs1,illuminance at SGoAs1,122,lux,2.4,11.55,0,04-01-2016 00:58,04-01-2016 00:59,3579,1459465117,1459465179,office A
30425,SGoBs5,illuminance at SGoBs5,130,lux,2.4,4.05,0,04-01-2016 01:17,04-01-2016 01:19,4779,1459466226,1459466379,office B
30426,SGoBs4,illuminance at SGoBs4,125,lux,2.4,2.05,0,04-01-2016 01:16,04-01-2016 01:19,4779,1459466182,1459466379,office B
30427,SGoAs6,illuminance at SGoAs6,131,lux,2.4,9.05,1.45,04-01-2016 01:13,04-01-2016 01:19,4779,1459466034,1459466379,office A
30428,SGoAs5,illuminance at SGoAs5,154,lux,2.4,11.55,3.9,04-01-2016 01:14,04-01-2016 01:19,4779,1459466074,1459466379,office A
30429,SGoAs4,illuminance at SGoAs4,115,lux,2.4,13.55,3.9,04-01-2016 01:15,04-01-2016 01:19,4779,1459466104,1459466379,office A
30430,SGoAs3,illuminance at SGoAs3,148,lux,2.4,17.6,1.45,04-01-2016 01:12,04-01-2016 01:19,4780,1459465941,1459466380,office A
30431,SGoAs2,illuminance at SGoAs2,88,lux,2.4,13.55,0,04-01-2016 01:13,04-01-2016 01:19,4780,1459466037,1459466380,office A
30432,SGoAs1,illuminance at SGoAs1,122,lux,2.4,11.55,0,04-01-2016 01:18,04-01-2016 01:19,4780,1459466323,1459466380,office A
30433,SGoBs5,illuminance at SGoBs5,128,lux,2.4,4.05,0,04-01-2016 01:36,04-01-2016 01:39,5980,1459467407,1459467580,office B
