DATE,ILLUMINANCE,HUMIDITY,TEMPERATURE,PRESSURE,PROXIMITY
23-02-2016,198.81,67.5,68.1,106.7,5
24-02-2016,135.48,69.07,69.07,972.21,70.77
25-02-2016,170.96,72.32,72.21,268.9,83
26-02-2016,219.93,70.19,70.07,239.96,94
27-02-2016,215.5,69.49,69.49,83.13,50
28-02-2016,194.56,70.19,67.03,89.41,48
29-02-2016,147.8,69.49,79.75,83.31,26
01-03-2016,170.96,71.04,80.74,106.7,35
02-03-2016,219.93,71.14,72.21,972.21,60
03-03-2016,215.5,79.78,70.07,702.71,73
04-03-2016,198.81,80.76,69.49,575.65,15
05-03-2016,135.48,72.32,71.03,340.8,5
06-03-2016,186.17,70.19,71.14,391.36,70.77
07-03-2016,127,69.49,72.21,277.46,100
08-03-2016,69.42,68.88,67.03,83.13,26
09-03-2016,71.34,70.9,79.75,89.41,35
10-03-2016,72.73,72.25,80.74,83.31,60
11-03-2016,215.5,79.78,70.07,702.71,73
12-03-2016,198.81,80.76,69.49,575.65,15
13-03-2016,198.81,65.86,68.1,217.86,73
14-03-2016,135.48,67.02,69.07,412.51,15
15-03-2016,186.17,79.78,68.86,106.7,23
16-03-2016,69.59,69.07,65.87,239.96,48
17-03-2016,69.42,68.88,67.03,83.13,26
18-03-2016,71.34,70.9,79.75,89.41,35
19-03-2016,72.73,72.25,80.74,83.31,60
20-03-2016,198.81,65.86,68.1,217.86,73
21-03-2016,135.48,67.02,69.07,412.51,15
22-03-2016,186.17,79.78,68.86,106.7,23
23-03-2016,127,80.76,70.91,972.21,83
24-03-2016,168.41,72.32,72.24,702.71,94
25-03-2016,132.69,70.19,65.87,575.65,5
26-03-2016,202.44,71.04,80.74,340.8,70.77
27-03-2016,194.56,71.14,72.21,268.9,100
28-03-2016,147.8,79.78,70.07,239.96,20
29-03-2016,170.96,80.76,69.49,83.13,35
30-03-2016,219.93,72.32,71.03,89.41,60
31-03-2016,170.96,79.78,80.74,575.65,70.77
01-04-2016,198.81,80.76,67.03,340.8,100
02-04-2016,135.48,72.32,79.75,391.36,20
03-04-2016,186.17,70.19,80.74,277.46,35
04-04-2016,69.42,67.5,68.1,217.86,15
05-04-2016,71.34,67.5,69.07,412.51,23
06-04-2016,72.73,69.07,68.86,340.8,83
07-04-2016,168.41,68.88,70.91,391.36,94
08-04-2016,198.81,80.76,67.03,340.8,100
09-04-2016,135.48,72.32,79.75,391.36,20
10-04-2016,186.17,70.19,80.74,277.46,35
11-04-2016,147.8,67.02,79.75,702.71,5
12-04-2016,170.96,79.78,80.74,575.65,70.77
